OBJECTID,ZIP,Anxiety_Di,Mood_Disor,Alcohol_re,Diabetes,Hypertensi,Asthma,F65_FallsER,Discharges,MH_ER,Total_MH,Total_ACSC,SHAPE_Length,SHAPE_Area
1,60002,393.608996777,359.3224988,270.17760406,69.6378830084,20.4817302966,31.4053197881,14.9467702119,9590.10309278,837.276280601,1452.37605431,0,215525.155184302,-1149062138.05097
2,60010,132.835014409,153.848463016,177.863832853,43.5030452132,19.5013650956,16.5011550809,9.94182472435,8955.50861893,388.936419308,733.969740634,0,178637.109618213,-802735362.801093
3,60015,142.476162642,231.371546171,147.347142561,18.7200479233,16.2240415335,6.24001597444,19.0793948041,8240.13520464,496.38329741,778.139042122,0,111400.890557562,-367457579.631725
4,60020,201.704730301,452.208992127,406.662762704,90.1117385558,66.0819416076,60.0744923705,23.2834366097,13394.2835146,911.33125122,1506.27887306,0,92363.08462543,-166617676.169473
5,60030,261.648843549,237.033795549,250.708822216,56.9584203531,37.9722802354,37.9722802354,20.2971852488,10486.7591425,666.999425649,1156.90725597,0,247258.224672015,-845517890.63461
6,60031,240.857946554,234.70464135,178.445850914,60.9778295533,31.8540900652,29.1237394882,20.239978903,8939.14409109,598.628691983,962.552742616,0,163995.18156145,-527117600.519725
7,60035,129.593010915,256.951659573,245.779848287,25.9922249345,14.6912575716,19.2116445168,18.5792078992,10150.2649762,688.323222844,959.658589447,0,115796.723819509,-345792947.352408
8,60040,123.456790123,308.641975309,320.987654321,18.0722891566,6.02409638554,6.02409638554,12.8600823045,9593.67530796,685.185185185,1037.03703704,0,25907.3724672055,-17809434.3375795
9,60042,261.025401278,374.006545115,214.274583139,89.0111668555,16.1838485192,56.6434698171,13.8791491351,9951.33256083,743.630201029,1351.87782453,0,45385.3952256937,-45177572.9803738
10,60044,182.450342525,230.644772626,289.166580605,35.9618150909,26.1540473388,22.8847914215,12.9925076539,9021.99250025,575.751316741,1025.85286929,0,92539.7087308084,-212777737.946437
11,60045,173.848053552,188.470787028,264.833950738,20.8466966004,17.639512508,14.4323284157,12.4519633883,8406.32838125,503.26574381,948.852927796,0,161457.245301156,-621475385.129652
12,60046,321.294357268,357.631219102,252.445566425,77.3804675409,32.5812494909,33.5994135375,21.9543338148,9320.09034575,774.907484437,1340.63895503,0,207743.912573801,-730424359.514813
13,60047,187.11067952,161.846790302,179.215714139,42.3673575805,16.295137531,17.9246512841,11.5433963519,7749.13519405,420.999028919,815.549923814,0,176981.859419951,-919381804.827633
14,60048,175.294814005,188.954150162,326.685789737,38.7014524427,33.0100623776,23.9038382735,20.073686581,8613.29715061,599.303373856,1067.70477621,0,196071.573674229,-819008275.917019
15,60060,223.996626874,228.388717597,189.738319235,43.0864241858,30.519550465,20.6455782557,17.6648923585,9155.00452296,566.909110075,1006.66719372,0,180171.962435806,-617591322.949219
16,60061,169.573643411,209.098327213,123.674010608,39.2033871727,49.657623752,16.9881344415,35.3993562282,9222.0215913,520.195838433,911.617707058,0,102713.138127103,-257421150.568738
17,60064,530.465048014,446.597056233,765.295425001,122.276567363,142.285460205,100.044464206,12.8486786189,13381.6039762,1574.88363316,2344.11037028,0,90452.8955856721,-139901116.547721
18,60069,108.420672208,140.545315825,184.716700799,42.9151061174,23.4082397004,7.80274656679,21.0093513347,11743.7284801,508.974822311,770.991446814,0,146555.427438204,-170066928.728412
19,60073,300.694330545,299.054179651,250.943086764,59.3766068412,34.8914081438,41.0127078181,17.9391504018,10005.4783605,697.269148762,1264.00962222,0,209118.936757727,-519658694.929367
20,60083,260.065497977,195.851794773,96.3205548064,74.0043057051,16.8191603875,37.0021528525,12.0400693508,8206.68079524,511.702947409,799.460604893,0,164753.217611984,-728237916.581256
21,60084,268.901913825,222.684397387,308.817041659,62.4167776298,41.6111850866,20.8055925433,15.6177612368,11310.107949,635.753450558,1212.15940842,0,159182.367882784,-505163484.500021
22,60085,509.524880939,372.651591855,494.056324296,114.162201656,66.9751583049,101.477512583,16.8073669627,12540.8115836,1240.64855439,1839.3520081,0,137038.94775375,-391907383.860635
23,60087,436.035489497,284.370971411,218.649680241,110.467773884,57.138503733,74.9149271167,19.2238320238,11480.1904119,902.403882612,1319.48130735,0,163122.611792904,-389880041.847101
24,60089,169.135564961,191.580094908,183.564191356,43.945005964,20.4030384833,14.1251804884,19.7209445358,7512.06627446,574.439688342,908.201872515,0,164174.744391824,-227772422.156281
25,60096,294.259527255,241.196333816,246.020260492,38.5142074632,25.6761383088,38.5142074632,10.2972280975,8301.67118983,714.544138929,1095.03135552,0,62444.4716610905,-141373658.447506
26,60099,461.371924625,377.295036311,233.313365072,120.197658372,77.9058896853,158.037661933,22.5752567228,12642.6740101,1075.13320932,1601.66472239,0,188925.390246103,-626264179.765553
